company,city,state,territory,AE marketing,career page,url
Cleveland Gear,Cleveland,OH,Cleveland,,(paycom),https://www.clevelandgear.com/careers/
AmbaFlex,Cleveland,OH,Cleveland,,https://www.ambaflex.com/en/company#careers,https://careers.ambaflex.com/careers
EJ Group,South Euclid,OH,Cleveland,,,"https://recruiting.adp.com/srccar/public/RTI.home?c=1140441&d=External	"
Airgas - Cleveland,Radnor,PA,Cleveland,,https://www.airgas.com/careers,https://airliquidehr.wd3.myworkdayjobs.com/AirgasExternalCareer?Careers-link=true&locationRegionStateProvince=41493c81d9214eb190fd14067c7d974d
Alco Manufacturing,Elyria,OH,Cleveland,,https://www.alco.com/careers,https://recruitingbypaycor.com/career/CareerHome.action?clientId=8a7882675721d0e30157493f1d6d0bf1
ALL Aerials,Richfield,OH,Cleveland,,https://www.allcrane.com/company/careers,https://recruiting.ultipro.com/ALL1029AECR/JobBoard/c5f83fdd-506a-98af-7d40-8402b8c2a771/?q=&o=postedDateDesc
Alloy Engineering,Berea,OH,Cleveland,,"https://www.alloyengineering.com/career-opportunities/	","https://recruiting.paylocity.com/recruiting/jobs/All/3c61678b-fb6f-4c03-82b9-b63775fa8bc3/Alloy-Engineering-Co	"
Alloy Precision Technologies,Mentor,OH,Cleveland,,,https://secure.entertimeonline.com/ta/CBIZ20333.careers?CareersSearch
Altronic,Girard,OH,Cleveland,,https://www.altronic-llc.com/careers/,https://altronic.isolvedhire.com/jobs/
Andersen Material Handling,Twinsburg,OH,Cleveland,,"https://www.andersenmaterialhandling.com/about/material-handling-jobs/	","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=6fb278e8-9782-4273-91b0-f254e98f5c81&ccId=19000101_000001&type=JS&lang=en_US	"
Applied Industrial Technologies - CLE,Cleveland,OH,Cleveland,,,https://jobs.applied.com/?_gl=1*6oro14*_ga*MTUxNTUyODU0My4xNjg5ODg2MTY0*_ga_ZT5EWHFHHL*MTY5MTYwOTM5Ni4zLjAuMTY5MTYwOTQwMy41My4wLjA.
Applied Maintenance Supplies & Solutions,Strongsville,OH,Cleveland,,,https://appliedmss.com/careers/
Arconic - Cleveland,Cleveland,OH,Cleveland,,https://www.arconic.com/joinus,https://hdnn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions?
ASG Jergens,Cleveland,OH,Cleveland,,"https://jergensinc.com/careers	","https://recruiting.paylocity.com/recruiting/jobs/All/7c3b3a6c-997d-4adf-a5dd-98f04209edb5/Jergens-Inc	"
B-TEK Scales,Canton,OH,Cleveland,,,"https://recruiting.paylocity.com/recruiting/jobs/All/c97b3245-7fe0-4e0e-b6b7-211d40d7a8a8/Brechbuhler-Scales-Inc	"
Barry-Wehmiller - Cleveland,Cuyahoga Falls,OH,Cleveland,,https://www.barrywehmiller.com/careers,https://barrywehmiller.wd1.myworkdayjobs.com/BWCareers?q=corporate
Bettcher Industries,Birmingham,OH,Cleveland,,https://www.bettcher.com/utility-navigation/careers,https://recruiting.ultipro.com/BET1004BETIN/JobBoard/8adef0ca-1e18-4acc-9274-130547589e57/?q=&o=postedDateDesc
Bollor,Middleburg Heights,OH,Cleveland,,,https://bollore-transport-logistics-recrute.talent-soft.com/homepage.aspx?LCID=1033
Canton Elevator,Canton,OH,Cleveland,,https://acim.nidec.com/elevators/about-us/careers,https://nidec.wd1.myworkdayjobs.com/en-US/Nidec
Castolin Eutectic,Menomonee Falls,WI,Cleveland,,,https://castolin.recruitee.com/
CC-EFI,Westlake,OH,Cleveland,,,https://www.cc-efi.com/company-info/career-options/
Clampco Products,Wadsworth,OH,Cleveland,,"https://www.clampco.com/careers/	","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=c5c2628b-0805-4cf9-934d-cf3860beebb0&ccId=19000101_000001&lang=en_US	"
Cleveland-Cliffs (was AK Steel Corporation),Cleveland,OH,Cleveland,,https://careers.clevelandcliffs.com/,https://careers.clevelandcliffs.com/job-search-results/
CLIMAX Manufacturing,Wadsworth,OH,Cleveland,,"https://www.climaxportable.com/about-us/careers/	","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a4823ed0-8730-41d5-91b7-d96370881b25&ccId=19000101_000001&type=MP&lang=en_US	"
Cometic Gasket,Concord,OH,Cleveland,,(paycor),https://www.cometic.com/employment
Compass Systems and Sales,Barberton,OH,Cleveland,,,https://recruitingbypaycor.com/career/CareerHome.action?clientId=8a788267568c830a01569555e58303ff
Component Repair Technologies,Mentor,OH,Cleveland,,https://componentrepair.com/join-us/,https://jobs.lever.co/componentrepairtechnologies/
Coventya,Brooklyn Heights,OH,Cleveland,,https://www.coventya.com/us/career/,https://careers.elementsolutionsinc.com/go/MacDermid-Enthone-Industrial-Solutions/8851100/
Covert Manufacturing,Galion,OH,Cleveland,, Inc.,https://www.covertmfg.com/careers
Crane Pumps & Systems,Piqua,OH,Cleveland,,,https://phf.tbe.taleo.net/phf01/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=57&org=CRANEAE
Cutting Dynamics,Avon,OH,Cleveland,,,https://boards.greenhouse.io/rebuildmanufacturing
Cyient,Barberton,OH,Cleveland,,https://www.cyient.careers/,https://cyient.wd3.myworkdayjobs.com/careers
Dearing Compressor & Pump,Youngstown,OH,Cleveland,,https://www.dearingcomp.com/careers/,https://dearingcompressor.applytojob.com
Delta ModTech - CLE,Cleveland,OH,Cleveland,,"https://www.deltamodtech.com/blog/category/delta-careers/	","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8a2ea939-ef73-49a7-afa8-07dae411b0f8&ccId=9151309879676_1156&type=MP&lang=en_US	"
DSTI: Dynamic Sealing Technologies - CLE,Cleveland,OH,Cleveland,,https://careers.dsti.com/,https://dsti.applicantpro.com/jobs/
DuPont - Cleveland,Cleveland,OH,Cleveland,,,https://careers.dupont.com/us/en
East End Welding,Brimfield,OH,Cleveland,,"https://eastendwelding.com/careers-2/	","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=19de40c0-64b0-4c4f-904d-3328549b48f9&ccId=19000101_000001&lang=en_US	"
Eaton - Cleveland,Cleveland,OH,Cleveland,,https://www.eaton.com/us/en-us/company/careers.html,https://eaton.eightfold.ai/careers?location=St%20Louis%2C%20Missouri%2C%20US&pid=687213713226&domain=eaton.com&sort_by=relevance
Emerson Corporation - Cleveland,Cleveland,OH,Cleveland,,https://www.emerson.com/en-us/careers,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions
Enprotech Industrial Technologies,Cleveland,OH,Cleveland,,https://www.enprotech.com/careers/,https://www.enprotech.com/careers/#current-openings
ERIKS North America - CLE,Brooklyn Heights,PA,Cleveland,,https://www.eriksna.com/careers/,https://hrsystem.wd1.myworkdayjobs.com/Careers
EthosEnergy - CLE,Cleveland,OH,Cleveland,,,https://careers.ethosenergy.com/careers
Euclid Heat Treating Co.,Cleveland,OH,Cleveland,,,"https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2a7342ec-34aa-4ce5-b51d-05819b051f56&ccId=19000101_000001&lang=en_US	"
Fenner Dunlop Americas,Port Clinton,OH,Cleveland,,,https://recruiting.ultipro.com/FEN1002FADL/JobBoard/d9e29285-a8af-474d-b725-9194f533cd42/?q=&o=postedDateDesc&w=&wc=&we=&wpst=
Ferrous Processing & Trading,Cleveland,OH,Cleveland,,https://www.fptscrap.com/careers/,https://careers.clevelandcliffs.com/job-search-results/?keyword=FPT
Flambeau,Wadsworth,OH,Cleveland,,https://www.flambeau.com/corporate-information/careers/,https://secure4.saashr.com/ta/6027311.careers?CareersSearch
Fontaine Modification,Springfield,OH,Cleveland,,https://fontainemodification.com/about-us/careers/,https://marmon.wd5.myworkdayjobs.com/Marmon_Careers?q=fontaine+modification
Fusion Incorporated,Willoughby,OH,Cleveland,,"https://www.fusion-inc.com/careers/	","https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=57c79741-68c0-43e1-becf-62c79933bf4c&ccId=19000101_000001&source=CC2&lang=en_US&selectedMenuKey=CareerCenter	"
"Geartec, Inc.",Willoughby,OH,Cleveland,,,"https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=887f5b52-abcd-4731-9ee0-ced532545e98&ccId=9200102156386_2&lang=en_US	"
GED Integrated Solutions,Glenwillow,OH,Cleveland,,"https://gedusa.com/careers/	","https://recruiting.paylocity.com/Recruiting/Jobs/All/da2560e9-fb4e-44a7-90ad-aa1b52e86e65/GED-Integrated-Solutions-Inc	"
Gibson Machinery,Bedford,OH,Cleveland,,https://www.altg.com/career,https://us241.dayforcehcm.com/CandidatePortal/en-US/altg/
